         547901 function calls (544481 primitive calls) in 33.652 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       72    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     62/1    0.000    0.000    0.332    0.332 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      491    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       88    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
       77    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       45    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       45    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      9/8    0.000    0.000    0.047    0.006 <frozen importlib._bootstrap>:622(_load_backward_compatible)
     54/1    0.001    0.000    0.333    0.333 <frozen importlib._bootstrap>:651(_load_unlocked)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
       72    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:843(__enter__)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:847(__exit__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
       55    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:870(_find_spec)
     55/1    0.000    0.000    0.334    0.334 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     55/1    0.001    0.000    0.334    0.334 <frozen importlib._bootstrap>:966(_find_and_load)
   115/87    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      103    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
       55    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
       55    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
       88    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       86    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
       43    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
       43    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      483    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      483    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
     43/1    0.000    0.000    0.333    0.333 <frozen importlib._bootstrap_external>:672(exec_module)
       43    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      208    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
       43    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:830(get_data)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
       77    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:919(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
       69    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000   33.652   33.652 <string>:1(<module>)
